,stockno,stock_name,shares,turnover,amount,open,high,low,close,change,finalprice,finalamount,finalsoldprice,finalsoldamount,PEratio,date,month,day
0,1101,台泥,14551789,4986,624946088,42.85,43.10,42.80,43.00,0.05,42.95,190,43.00,"1,070",10.59,20191218,12,18
1,1101B,台泥乙特,8407,11,448751,53.50,53.50,53.10,53.50,0.0,53.40,1,53.50,2,0.00,20191218,12,18
2,1102,亞泥,6952800,3109,332605795,47.65,48.00,47.55,47.95,0.3,47.90,49,47.95,252,10.56,20191218,12,18
3,1103,嘉泥,1014419,372,20284449,19.95,20.10,19.80,20.10,0.15,20.05,5,20.10,128,9.95,20191218,12,18
4,1104,環泥,955901,472,18570123,19.35,19.55,19.30,19.50,0.15,19.45,6,19.50,57,12.75,20191218,12,18
5,1108,幸福,299010,135,2389659,7.94,8.07,7.94,7.99,0.07,7.95,10,7.99,6,0.00,20191218,12,18
6,1109,信大,344207,196,6584233,19.15,19.20,19.05,19.10,-0.05,19.10,6,19.15,24,6.68,20191218,12,18
7,1110,東泥,108038,56,1851352,17.00,17.30,17.00,17.30,0.3,17.05,1,17.30,24,865.00,20191218,12,18
8,1201,味全,1465408,713,36063602,24.75,24.75,24.55,24.60,-0.1,24.60,22,24.65,1,9.92,20191218,12,18
9,1203,味王,78543,59,2133212,27.00,27.45,27.00,27.30,0.3,27.15,3,27.30,1,14.84,20191218,12,18
10,1210,大成,12939861,7735,563582014,42.45,44.20,42.45,43.70,1.55,43.70,1,43.75,1,15.07,20191218,12,18
11,1213,大飲,3214,7,19570,6.10,6.10,6.10,6.10,-0.12,6.07,1,6.20,3,0.00,20191218,12,18
12,1215,卜蜂,1920102,1395,124781567,65.10,65.50,64.50,65.50,0.1,65.40,18,65.50,37,14.00,20191218,12,18
13,1216,統一,8924028,3340,653158130,72.60,73.50,72.60,73.50,0.9,73.40,9,73.50,395,22.21,20191218,12,18
14,1217,愛之味,1141773,483,8113223,7.07,7.14,7.07,7.12,0.05,7.12,21,7.13,16,44.50,20191218,12,18
15,1218,泰山,378031,221,8380932,22.10,22.25,22.10,22.20,0.1,22.15,5,22.20,24,19.82,20191218,12,18
16,1219,福壽,89597,72,1641542,18.00,18.80,18.00,18.60,0.65,18.40,1,18.60,4,68.89,20191218,12,18
17,1220,台榮,39013,33,414586,10.65,10.65,10.60,10.65,0.0,10.60,4,10.65,29,19.02,20191218,12,18
18,1225,福懋油,158136,172,5651674,35.20,35.95,35.15,35.80,0.6,35.70,1,35.80,7,24.03,20191218,12,18
19,1227,佳格,2357618,1754,170417989,71.30,72.90,71.30,72.40,1.1,72.30,3,72.40,31,20.45,20191218,12,18
20,1229,聯華,3443578,2072,125350899,36.00,36.65,35.90,36.65,0.7,36.60,33,36.65,136,14.10,20191218,12,18
21,1231,聯華食,236004,222,9829006,41.50,41.90,41.45,41.80,0.3,41.75,6,41.80,2,15.14,20191218,12,18
22,1232,大統益,145347,180,17493987,121.00,121.00,120.00,120.50,0.0,120.00,78,121.00,9,18.83,20191218,12,18
23,1233,天仁,29150,25,1133161,38.80,39.00,38.75,38.75,-0.05,38.65,1,38.75,8,22.27,20191218,12,18
24,1234,黑松,222751,147,7220005,32.35,32.50,32.35,32.45,0.1,32.45,13,32.50,5,16.14,20191218,12,18
25,1235,興泰,38109,47,819281,21.40,21.65,21.40,21.50,0.05,21.50,9,21.55,18,358.33,20191218,12,18
26,1236,宏亞,239561,160,3260748,13.10,14.30,13.05,13.65,0.55,13.65,1,13.75,10,85.31,20191218,12,18
27,1256,鮮活果汁-KY,183083,188,40970092,220.50,226.00,220.50,224.00,4.0,224.00,1,225.00,5,14.56,20191218,12,18
28,1301,台塑,10884002,6171,1091530165,99.10,101.50,98.60,101.50,2.4,101.00,76,101.50,697,17.71,20191218,12,18
29,1303,南亞,7166647,2889,520942595,72.60,72.90,72.40,72.60,-0.1,72.60,356,72.70,21,24.78,20191218,12,18
30,1304,台聚,3270315,1246,47451311,14.50,14.60,14.45,14.50,0.0,14.50,6,14.55,344,17.26,20191218,12,18
31,1305,華夏,771966,428,16413016,21.35,21.35,21.20,21.30,0.0,21.25,6,21.30,139,21.73,20191218,12,18
32,1307,三芳,100525,89,2391684,23.70,23.90,23.70,23.75,0.0,23.75,1,23.80,47,23.06,20191218,12,18
33,1308,亞聚,543711,265,8756876,16.10,16.20,16.05,16.10,0.0,16.05,22,16.10,11,15.63,20191218,12,18
34,1309,台達化,1393691,416,15801550,11.30,11.45,11.25,11.35,0.05,11.30,34,11.35,49,27.02,20191218,12,18
35,1310,台苯,986215,528,20556610,20.80,20.90,20.75,20.90,0.05,20.85,47,20.90,188,12.22,20191218,12,18
36,1312,國喬,5278282,2005,97585744,18.40,18.60,18.40,18.45,0.05,18.45,175,18.50,223,8.50,20191218,12,18
37,1312A,國喬特,2000,2,68700,34.35,34.35,34.35,34.35,0.0,34.35,4,34.40,18,0.00,20191218,12,18
38,1313,聯成,5532503,1683,62123961,11.05,11.35,11.05,11.25,0.25,11.25,167,11.30,343,0.00,20191218,12,18
39,1314,中石化,9880373,1929,96261977,9.75,9.76,9.71,9.74,-0.01,9.74,38,9.75,570,19.10,20191218,12,18
40,1315,達新,728527,404,33681515,46.10,46.70,45.85,46.20,0.2,46.00,10,46.20,11,12.59,20191218,12,18
41,1316,上曜,3185754,786,45133366,14.00,14.25,13.95,14.15,0.2,14.15,12,14.20,150,0.00,20191218,12,18
42,1319,東陽,2465473,1451,115346032,46.40,47.00,46.20,47.00,1.0,46.95,2,47.00,99,14.16,20191218,12,18
43,1321,大洋,169000,98,6208350,36.80,36.80,36.50,36.75,0.05,36.75,5,36.80,1,245.00,20191218,12,18
44,1323,永裕,82100,54,2779925,33.95,34.00,33.75,34.00,0.0,33.80,1,34.00,43,10.40,20191218,12,18
45,1324,地球,67001,32,642549,9.70,9.70,9.50,9.66,-0.04,9.64,2,9.66,1,0.00,20191218,12,18
46,1325,恆大,25217,19,389991,15.45,15.55,15.45,15.50,0.0,15.45,18,15.50,6,31.00,20191218,12,18
47,1326,台化,7078921,3504,623879818,88.20,88.50,87.60,88.30,0.1,88.30,97,88.40,37,17.91,20191218,12,18
48,1337,再生-KY,555164,249,3298366,5.88,5.98,5.88,5.93,0.07,5.93,9,5.95,21,0.00,20191218,12,18
49,1338,廣華-KY,145001,119,9604169,66.20,66.50,65.80,65.80,-0.4,65.70,3,65.80,3,14.62,20191218,12,18
50,1339,昭輝,2968367,1987,149977552,49.00,51.60,48.80,51.30,1.75,51.30,4,51.40,7,10.47,20191218,12,18
51,1340,勝悅-KY,207869,136,3209920,15.50,15.50,15.35,15.50,0.0,15.45,6,15.50,12,0.00,20191218,12,18
52,1341,富林-KY,6000,5,358500,59.90,59.90,59.50,59.80,0.1,59.10,1,59.80,3,10.97,20191218,12,18
53,1402,遠東新,7072454,3250,213561873,30.20,30.30,30.10,30.15,-0.05,30.15,202,30.20,167,16.75,20191218,12,18
54,1409,新纖,4011802,1444,48738714,12.05,12.35,12.00,12.25,0.25,12.25,12,12.30,96,9.80,20191218,12,18
55,1410,南染,87006,39,2758592,31.80,32.15,30.95,32.15,0.65,31.80,1,32.15,1,25.72,20191218,12,18
56,1413,宏洲,107954,39,1026631,9.55,9.55,9.49,9.53,-0.04,9.53,1,9.55,48,8.59,20191218,12,18
57,1414,東和,162937,102,1167930,7.14,7.20,7.13,7.19,0.06,7.18,1,7.20,28,0.00,20191218,12,18
58,1416,廣豐,60963,71,829739,13.65,13.65,13.55,13.55,-0.1,13.55,16,13.65,5,15.57,20191218,12,18
59,1417,嘉裕,1660834,398,17674514,10.60,10.65,10.55,10.65,0.05,10.60,15,10.65,180,0.00,20191218,12,18
60,1418,東華,56192,19,332161,5.93,5.93,5.78,5.93,0.13,5.83,3,6.00,1,0.00,20191218,12,18
61,1419,新紡,16500,21,711797,42.65,43.50,42.65,43.40,0.6,42.90,1,43.40,1,35.28,20191218,12,18
62,1423,利華,49468,31,513019,10.35,10.40,10.35,10.40,0.05,10.35,26,10.40,17,0.00,20191218,12,18
63,1432,大魯閣,41383,29,280487,6.78,6.82,6.72,6.79,0.0,6.78,3,6.79,4,0.00,20191218,12,18
64,1434,福懋,1626784,912,55903703,34.35,34.45,34.30,34.45,0.0,34.45,44,34.50,110,16.97,20191218,12,18
65,1435,中福,230237,58,1632131,7.08,7.12,7.08,7.11,0.03,7.10,3,7.11,4,355.50,20191218,12,18
66,1436,華友聯,66010,27,2377556,35.95,36.10,35.90,36.10,0.1,36.10,4,36.30,5,22.70,20191218,12,18
67,1437,勤益控,224531,124,5742212,25.55,25.75,25.50,25.60,0.1,25.60,7,25.65,33,6.07,20191218,12,18
68,1438,裕豐,43000,12,571450,13.40,13.40,13.15,13.15,0.05,13.25,1,13.30,30,0.00,20191218,12,18
69,1439,中和,332958,210,10586966,31.40,31.95,31.40,31.70,0.3,31.70,2,31.75,11,3.27,20191218,12,18
70,1440,南紡,1673375,556,17659493,10.60,10.60,10.50,10.55,0.0,10.55,2,10.60,61,0.00,20191218,12,18
71,1441,大東,118938,76,905065,7.70,7.70,7.58,7.65,0.03,7.62,3,7.68,3,0.00,20191218,12,18
72,1442,名軒,831087,352,15387957,18.40,19.10,18.35,18.40,0.05,18.35,18,18.40,17,70.77,20191218,12,18
73,1443,立益,128232,24,1245842,9.86,9.86,9.70,9.78,0.07,9.71,20,9.77,3,0.00,20191218,12,18
74,1444,力麗,4280406,1679,40546534,9.40,9.56,9.40,9.50,0.28,9.49,66,9.50,11,27.14,20191218,12,18
75,1445,大宇,99004,32,693495,7.03,7.03,6.99,7.00,0.01,7.00,3,7.02,4,0.00,20191218,12,18
76,1446,宏和,736848,482,26319137,34.90,36.25,34.90,36.25,1.5,36.20,31,36.30,38,0.00,20191218,12,18
77,1447,力鵬,2190091,650,15656941,7.13,7.19,7.10,7.13,0.06,7.13,28,7.14,1,0.00,20191218,12,18
78,1449,佳和,1453796,744,20048749,13.90,14.40,13.00,13.45,-0.2,13.45,3,13.60,60,0.00,20191218,12,18
79,1451,年興,309940,238,6456992,20.90,20.95,20.75,20.90,0.0,20.90,9,20.95,21,38.70,20191218,12,18
80,1452,宏益,87740,63,1606117,18.25,18.35,18.25,18.35,0.1,18.30,1,18.35,70,14.45,20191218,12,18
81,1453,大將,99255,29,793788,8.01,8.01,7.98,8.01,0.01,8.01,1,8.09,3,0.00,20191218,12,18
82,1454,台富,117940,71,917267,7.78,7.83,7.76,7.76,-0.06,7.76,5,7.80,9,32.33,20191218,12,18
83,1455,集盛,937095,404,7592448,8.07,8.14,8.04,8.14,0.13,8.13,16,8.14,20,0.00,20191218,12,18
84,1456,怡華,236544,117,2756301,11.50,11.90,11.50,11.65,-0.35,11.65,10,11.70,7,36.41,20191218,12,18
85,1457,宜進,401497,146,5702602,14.20,14.25,14.15,14.25,0.0,14.20,42,14.25,127,9.90,20191218,12,18
86,1459,聯發,198826,73,1374076,6.81,6.95,6.81,6.95,0.14,6.95,9,6.96,2,0.00,20191218,12,18
87,1460,宏遠,579457,264,5355112,9.26,9.34,9.20,9.22,-0.04,9.21,43,9.22,7,0.00,20191218,12,18
88,1463,強盛,120016,76,1574660,13.10,13.15,13.05,13.15,0.05,13.10,21,13.15,25,15.29,20191218,12,18
89,1464,得力,755908,529,19897581,26.60,26.60,26.20,26.25,0.0,26.25,191,26.30,9,21.52,20191218,12,18
90,1465,偉全,147200,104,2191890,14.75,15.00,14.70,14.85,0.3,14.85,26,14.95,7,4.17,20191218,12,18
91,1466,聚隆,54394,31,409994,7.57,7.59,7.51,7.57,-0.05,7.56,6,7.58,1,0.00,20191218,12,18
92,1467,南緯,536451,163,4569696,8.48,8.59,8.47,8.57,0.1,8.56,8,8.57,3,40.81,20191218,12,18
93,1468,昶和,13001,14,130079,9.93,10.10,9.92,10.10,0.0,9.91,3,10.10,6,37.41,20191218,12,18
94,1470,大統新創,26988,21,609534,22.65,22.90,21.90,22.50,1.0,22.20,1,22.55,1,24.46,20191218,12,18
95,1471,首利,86027,46,184233,2.11,2.19,2.11,2.15,-0.04,2.15,2,2.18,1,0.00,20191218,12,18
96,1472,三洋紡,276967,118,7469225,27.25,27.25,26.20,26.60,-0.65,26.40,2,26.60,2,15.65,20191218,12,18
97,1473,台南,133200,111,3114739,23.50,23.55,23.25,23.45,0.25,23.40,2,23.50,6,18.61,20191218,12,18
98,1474,弘裕,168000,73,1638850,9.65,9.86,9.62,9.80,0.21,9.75,10,9.80,2,40.83,20191218,12,18
99,1475,本盟,0,0,0,--,--,--,--,0.0,4.40,1,4.74,1,0.00,20191218,12,18
100,1476,儒鴻,1137255,1094,466237305,404.50,412.00,402.00,412.00,9.5,411.50,2,412.00,69,25.65,20191218,12,18
101,1477,聚陽,2453874,1628,384592145,154.50,158.00,154.50,157.00,2.5,156.50,155,157.00,8,18.38,20191218,12,18
102,1503,士電,190280,160,8730693,45.85,46.00,45.80,45.95,0.2,45.85,9,46.00,41,15.32,20191218,12,18
103,1504,東元,6844103,2255,182274625,26.60,26.75,26.50,26.60,-0.2,26.60,185,26.65,30,15.83,20191218,12,18
104,1506,正道,74338,36,1121552,14.90,15.20,14.80,15.20,0.1,15.10,1,15.20,4,0.00,20191218,12,18
105,1507,永大,29403,34,1839645,62.40,62.90,62.40,62.70,0.4,62.50,2,62.80,3,31.35,20191218,12,18
106,1512,瑞利,70010,28,273090,4.00,4.00,3.85,3.99,-0.01,3.98,2,3.99,10,0.00,20191218,12,18
107,1513,中興電,2639258,783,57894340,21.80,22.10,21.75,22.00,0.2,22.00,40,22.05,58,14.86,20191218,12,18
108,1514,亞力,928803,304,15988345,17.20,17.30,17.10,17.25,0.15,17.20,31,17.25,126,11.98,20191218,12,18
109,1515,力山,514888,390,37588024,73.40,73.40,72.70,73.00,-0.1,73.00,1,73.10,28,9.92,20191218,12,18
110,1516,川飛,46643,32,753552,16.20,16.30,16.00,16.25,-0.05,16.05,8,16.30,4,77.38,20191218,12,18
111,1517,利奇,93284,44,846449,9.10,9.10,9.05,9.09,-0.01,9.06,4,9.09,13,454.50,20191218,12,18
112,1519,華城,3747450,1333,112545200,29.40,30.40,29.40,30.15,0.75,30.10,9,30.15,99,20.79,20191218,12,18
113,1521,大億,61006,45,3983696,65.00,65.60,65.00,65.50,0.6,65.40,5,65.50,1,13.07,20191218,12,18
114,1522,堤維西,414933,274,12042356,28.85,29.15,28.85,28.90,0.05,28.90,2,29.00,2,12.79,20191218,12,18
115,1524,耿鼎,66010,31,659758,10.00,10.00,9.98,10.00,0.01,9.99,7,10.00,25,10.64,20191218,12,18
116,1525,江申,28101,32,1549574,54.60,55.30,54.60,55.30,0.7,55.00,1,55.40,2,11.45,20191218,12,18
117,1526,日馳,420051,296,10134445,23.55,24.40,23.55,24.35,0.65,24.20,11,24.35,9,15.41,20191218,12,18
118,1527,鑽全,286500,245,14273622,49.85,50.00,49.65,49.85,0.0,49.85,2,49.90,13,7.46,20191218,12,18
119,1528,恩德,104771,70,922105,8.84,8.84,8.77,8.82,-0.03,8.81,1,8.82,1,0.00,20191218,12,18
120,1529,樂士,584609,313,11032945,18.60,19.30,18.45,18.60,0.25,18.60,2,18.75,5,71.54,20191218,12,18
121,1530,亞崴,22755,26,668921,29.30,29.50,29.30,29.50,0.2,29.35,1,29.50,1,12.09,20191218,12,18
122,1531,高林股,85143,69,1293208,15.15,15.30,15.10,15.20,0.05,15.15,3,15.20,7,33.04,20191218,12,18
123,1532,勤美,227244,185,7052988,31.00,31.10,30.90,30.95,0.0,30.90,16,31.05,1,13.40,20191218,12,18
124,1533,車王電,26199,32,960842,36.60,36.85,36.55,36.55,-0.1,36.50,8,36.65,6,14.50,20191218,12,18
125,1535,中宇,55200,45,1922857,34.70,35.00,34.50,35.00,0.1,34.90,3,35.00,3,34.31,20191218,12,18
126,1536,和大,1908401,1460,222120516,118.00,118.50,115.00,116.00,-1.0,116.00,55,116.50,123,35.91,20191218,12,18
127,1537,廣隆,182297,165,27033050,148.00,149.00,147.50,148.50,0.5,148.00,44,148.50,22,12.60,20191218,12,18
128,1538,正峰新,15688,14,72916,4.54,4.75,4.54,4.75,0.04,4.66,2,4.75,2,0.00,20191218,12,18
129,1539,巨庭,29010,29,581350,20.10,20.10,20.00,20.10,0.0,20.05,1,20.10,7,4.09,20191218,12,18
130,1540,喬福,126895,70,2460951,19.30,19.45,19.30,19.40,0.1,19.40,2,19.45,27,9.11,20191218,12,18
131,1541,錩泰,35489,36,1283200,36.10,36.30,36.05,36.20,-0.2,36.20,5,36.25,13,16.76,20191218,12,18
132,1558,伸興,43055,41,5740452,133.50,133.50,133.00,133.50,0.0,133.00,66,133.50,6,11.34,20191218,12,18
133,1560,中砂,804685,542,56726515,70.60,70.80,70.00,70.40,0.4,70.30,20,70.40,1,17.09,20191218,12,18
134,1568,倉佑,544050,370,10846860,19.10,20.25,19.10,20.20,1.2,20.15,2,20.20,8,84.17,20191218,12,18
135,1582,信錦,1193137,879,106972036,89.40,90.00,89.10,89.80,0.8,89.70,18,89.80,3,11.85,20191218,12,18
136,1583,程泰,9007,12,516401,57.00,58.40,57.00,57.50,0.6,57.00,3,57.50,1,14.86,20191218,12,18
137,1587,吉茂,44000,27,639550,14.45,14.70,14.40,14.60,0.1,14.50,4,14.65,3,21.79,20191218,12,18
138,1589,永冠-KY,429116,340,26824200,62.30,62.80,62.20,62.70,0.8,62.60,2,62.70,8,0.00,20191218,12,18
139,1590,亞德客-KY,989295,908,441118685,443.50,450.00,439.00,443.00,3.5,443.00,1,443.50,3,32.48,20191218,12,18
140,1592,英瑞-KY,193001,104,3237666,16.80,16.95,16.65,16.80,0.05,16.70,3,16.80,7,0.00,20191218,12,18
141,1598,岱宇,49034,37,1946310,39.45,40.00,39.45,40.00,0.35,40.00,1,40.10,1,17.32,20191218,12,18
142,1603,華電,54326,48,1545441,28.40,28.55,28.30,28.45,0.0,28.40,1,28.50,1,27.62,20191218,12,18
143,1604,聲寶,410077,167,8324603,20.30,20.35,20.25,20.35,0.05,20.30,7,20.35,47,10.18,20191218,12,18
144,1605,華新,7667177,2276,116138713,15.15,15.20,15.10,15.20,0.1,15.15,216,15.20,"1,773",14.62,20191218,12,18
145,1608,華榮,1453811,531,14500090,9.89,10.05,9.86,10.05,0.2,10.00,45,10.05,85,43.70,20191218,12,18
146,1609,大亞,3886342,966,41535889,10.60,10.75,10.60,10.75,0.15,10.70,118,10.75,136,16.29,20191218,12,18
147,1612,宏泰,298620,130,3304520,11.10,11.20,11.00,11.00,-0.1,11.00,19,11.10,21,22.92,20191218,12,18
148,1614,三洋電,100383,77,3073381,30.60,30.80,30.50,30.65,0.05,30.65,4,30.70,13,39.81,20191218,12,18
149,1615,大山,55001,38,961167,17.45,17.50,17.40,17.50,0.1,17.45,4,17.50,5,10.29,20191218,12,18
150,1616,億泰,62275,33,298010,4.78,4.80,4.77,4.77,-0.02,4.77,1,4.79,81,0.00,20191218,12,18
151,1617,榮星,30001,14,361712,12.15,12.15,12.05,12.10,0.0,12.05,2,12.10,5,14.40,20191218,12,18
152,1618,合機,350710,170,3276964,9.28,9.46,9.26,9.46,0.18,9.46,27,9.47,4,0.00,20191218,12,18
153,1626,艾美特-KY,908262,763,26895910,30.00,30.10,29.20,29.40,-0.6,29.35,5,29.45,6,8.83,20191218,12,18
154,1701,中化,251430,141,4803220,19.05,19.15,19.05,19.10,0.05,19.05,42,19.10,23,15.79,20191218,12,18
155,1702,南僑,560258,402,28233949,50.20,50.60,50.20,50.50,0.5,50.40,7,50.50,56,13.05,20191218,12,18
156,1707,葡萄王,234445,253,44948440,192.00,193.00,191.00,191.00,-1.0,191.00,10,191.50,1,20.17,20191218,12,18
157,1708,東鹼,200363,123,5012247,24.95,25.10,24.95,25.05,0.1,25.00,4,25.05,1,20.88,20191218,12,18
158,1709,和益,221355,109,2861382,12.95,13.00,12.90,13.00,0.05,12.95,1,13.00,155,50.00,20191218,12,18
159,1710,東聯,1404544,889,29444710,21.05,21.10,20.85,20.90,-0.15,20.90,35,20.95,2,95.00,20191218,12,18
160,1711,永光,355805,236,5607417,15.75,15.80,15.70,15.80,0.05,15.80,1,15.85,60,22.90,20191218,12,18
161,1712,興農,643527,264,12103026,18.80,18.85,18.75,18.85,0.05,18.80,34,18.85,97,12.24,20191218,12,18
162,1713,國化,45564,25,823902,18.05,18.15,18.05,18.15,0.1,18.00,1,18.15,59,34.25,20191218,12,18
163,1714,和桐,1712413,596,12266311,7.18,7.20,7.13,7.13,-0.03,7.13,24,7.15,13,31.00,20191218,12,18
164,1717,長興,1030446,569,27180520,26.25,26.50,26.20,26.45,0.25,26.40,6,26.45,5,15.47,20191218,12,18
165,1718,中纖,1676588,656,13295866,7.90,7.96,7.89,7.96,0.06,7.95,25,7.96,82,0.00,20191218,12,18
166,1720,生達,133583,116,4509578,33.60,33.85,33.60,33.75,0.15,33.75,2,33.80,13,16.15,20191218,12,18
167,1721,三晃,129210,63,1140185,8.80,8.85,8.79,8.84,0.04,8.79,4,8.85,11,176.80,20191218,12,18
168,1722,台肥,2508014,1509,122882774,48.75,49.15,48.75,48.95,0.25,48.95,53,49.00,20,21.95,20191218,12,18
169,1723,中碳,221723,205,27165785,122.50,123.00,122.00,123.00,1.0,122.50,7,123.00,11,19.04,20191218,12,18
170,1724,台硝,9493,12,123679,13.05,13.05,13.00,13.05,-0.05,13.00,26,13.05,6,16.11,20191218,12,18
171,1725,元禎,20135,16,297330,14.75,14.85,14.70,14.75,0.0,14.75,6,14.80,1,13.17,20191218,12,18
172,1726,永記,32001,30,2270172,70.70,71.50,70.50,71.50,0.8,70.70,5,71.00,1,19.22,20191218,12,18
173,1727,中華化,149380,88,1737596,11.70,11.75,11.55,11.70,-0.05,11.65,11,11.75,7,30.79,20191218,12,18
