,stockno,stock_name,dividend_yield,dividend_year,PE_ratio,PB_ratio,financial_season,date,year,month,day
0,1101,台泥,9.33,107,10.59,1.32,108/3,20191218,2019,12,18
1,1102,亞泥,5.84,107,10.56,1.13,108/3,20191218,2019,12,18
2,1103,嘉泥,4.98,107,9.95,0.59,108/3,20191218,2019,12,18
3,1104,環泥,5.13,107,12.75,0.72,108/3,20191218,2019,12,18
4,1108,幸福,0.00,107,0.0,0.76,108/3,20191218,2019,12,18
5,1109,信大,4.19,107,6.68,1.00,108/3,20191218,2019,12,18
6,1110,東泥,0.58,107,865.00,1.16,108/3,20191218,2019,12,18
7,1201,味全,3.25,107,9.92,1.78,108/3,20191218,2019,12,18
8,1203,味王,3.66,107,14.84,1.32,108/3,20191218,2019,12,18
9,1210,大成,4.58,107,15.07,1.91,108/3,20191218,2019,12,18
10,1213,大飲,0.00,106,0.0,0.61,108/3,20191218,2019,12,18
11,1215,卜蜂,4.58,107,14.00,2.39,108/3,20191218,2019,12,18
12,1216,統一,3.40,107,22.21,3.90,108/3,20191218,2019,12,18
13,1217,愛之味,0.00,107,44.50,0.63,108/3,20191218,2019,12,18
14,1218,泰山,3.60,107,19.82,1.66,108/3,20191218,2019,12,18
15,1219,福壽,0.54,107,68.89,1.57,108/3,20191218,2019,12,18
16,1220,台榮,4.32,107,19.02,0.84,108/3,20191218,2019,12,18
17,1225,福懋油,3.21,107,24.03,2.49,108/3,20191218,2019,12,18
18,1227,佳格,3.45,107,20.45,4.14,108/3,20191218,2019,12,18
19,1229,聯華,5.73,107,14.10,1.56,108/3,20191218,2019,12,18
20,1231,聯華食,5.50,107,15.14,2.13,108/3,20191218,2019,12,18
21,1232,大統益,4.15,107,18.83,5.04,108/3,20191218,2019,12,18
22,1233,天仁,4.90,107,22.27,2.25,108/3,20191218,2019,12,18
23,1234,黑松,4.93,107,16.14,0.74,108/3,20191218,2019,12,18
24,1235,興泰,5.81,107,358.33,0.62,108/3,20191218,2019,12,18
25,1236,宏亞,2.93,107,85.31,0.91,108/3,20191218,2019,12,18
26,1256,鮮活果汁-KY,3.21,107,14.56,3.86,108/3,20191218,2019,12,18
27,1301,台塑,5.71,107,17.71,1.84,108/3,20191218,2019,12,18
28,1303,南亞,6.89,107,24.78,1.66,108/3,20191218,2019,12,18
29,1304,台聚,2.07,107,17.26,0.83,108/3,20191218,2019,12,18
30,1305,華夏,8.92,107,21.73,1.40,108/3,20191218,2019,12,18
31,1307,三芳,2.11,107,23.06,1.12,108/3,20191218,2019,12,18
32,1308,亞聚,1.86,107,15.63,0.89,108/3,20191218,2019,12,18
33,1309,台達化,3.52,107,27.02,0.90,108/3,20191218,2019,12,18
34,1310,台苯,9.57,107,12.22,1.55,108/3,20191218,2019,12,18
35,1312,國喬,0.00,107,8.50,0.71,108/3,20191218,2019,12,18
36,1313,聯成,4.44,107,0.0,0.73,108/3,20191218,2019,12,18
37,1314,中石化,10.27,107,19.10,0.41,108/3,20191218,2019,12,18
38,1315,達新,2.60,107,12.59,1.09,108/3,20191218,2019,12,18
39,1316,上曜,13.36,107,0.0,1.38,108/3,20191218,2019,12,18
40,1319,東陽,3.62,107,14.16,1.30,108/3,20191218,2019,12,18
41,1321,大洋,0.00,107,245.00,1.61,108/3,20191218,2019,12,18
42,1323,永裕,5.29,107,10.40,1.55,108/3,20191218,2019,12,18
43,1324,地球,3.11,107,0.0,0.75,108/3,20191218,2019,12,18
44,1325,恆大,3.23,107,31.00,0.78,108/3,20191218,2019,12,18
45,1326,台化,7.02,107,17.91,1.46,108/3,20191218,2019,12,18
46,1337,再生-KY,0.00,107,0.0,0.22,108/3,20191218,2019,12,18
47,1338,廣華-KY,5.32,107,14.62,0.87,108/3,20191218,2019,12,18
48,1339,昭輝,3.90,107,10.47,1.10,108/3,20191218,2019,12,18
49,1340,勝悅-KY,7.74,107,0.0,0.39,108/3,20191218,2019,12,18
50,1341,富林-KY,5.02,107,10.97,2.49,108/3,20191218,2019,12,18
51,1402,遠東新,5.97,107,16.75,0.80,108/3,20191218,2019,12,18
52,1409,新纖,6.94,107,9.80,0.67,108/3,20191218,2019,12,18
53,1410,南染,4.04,107,25.72,1.88,108/3,20191218,2019,12,18
54,1413,宏洲,0.00,107,8.59,1.04,108/3,20191218,2019,12,18
55,1414,東和,2.78,107,0.0,0.52,108/3,20191218,2019,12,18
56,1416,廣豐,8.86,107,15.57,0.63,108/3,20191218,2019,12,18
57,1417,嘉裕,0.00,107,0.0,0.82,108/3,20191218,2019,12,18
58,1418,東華,0.00,107,0.0,0.46,108/3,20191218,2019,12,18
59,1419,新紡,1.96,107,35.28,1.51,108/3,20191218,2019,12,18
60,1423,利華,0.00,107,0.0,0.61,108/3,20191218,2019,12,18
61,1432,大魯閣,0.00,107,0.0,0.79,108/3,20191218,2019,12,18
62,1434,福懋,6.10,107,16.97,0.91,108/3,20191218,2019,12,18
63,1435,中福,0.00,107,355.50,1.00,108/3,20191218,2019,12,18
64,1436,華友聯,11.08,107,22.70,1.39,108/3,20191218,2019,12,18
65,1437,勤益控,1.95,107,6.07,0.81,108/3,20191218,2019,12,18
66,1438,裕豐,0.00,107,0.0,2.61,108/3,20191218,2019,12,18
67,1439,中和,0.00,107,3.27,1.06,108/3,20191218,2019,12,18
68,1440,南紡,3.79,107,0.0,0.71,108/3,20191218,2019,12,18
69,1441,大東,43.14,107,0.0,0.65,108/3,20191218,2019,12,18
70,1442,名軒,5.43,107,70.77,1.10,108/3,20191218,2019,12,18
71,1443,立益,0.00,107,0.0,1.11,108/3,20191218,2019,12,18
72,1444,力麗,4.21,107,27.14,0.85,108/3,20191218,2019,12,18
73,1445,大宇,2.86,107,0.0,0.55,108/3,20191218,2019,12,18
74,1446,宏和,0.83,107,0.0,3.23,108/3,20191218,2019,12,18
75,1447,力鵬,2.81,107,0.0,0.61,108/3,20191218,2019,12,18
76,1449,佳和,0.00,107,0.0,2.46,108/3,20191218,2019,12,18
77,1451,年興,9.57,107,38.70,0.57,108/3,20191218,2019,12,18
78,1452,宏益,7.63,107,14.45,0.99,108/3,20191218,2019,12,18
79,1453,大將,12.48,107,0.0,0.60,108/3,20191218,2019,12,18
80,1454,台富,2.58,107,32.33,0.64,108/3,20191218,2019,12,18
81,1455,集盛,2.46,107,0.0,0.67,108/3,20191218,2019,12,18
82,1456,怡華,0.00,107,36.41,0.95,108/3,20191218,2019,12,18
83,1457,宜進,4.91,107,9.90,0.75,108/3,20191218,2019,12,18
84,1459,聯發,0.00,107,0.0,0.76,108/3,20191218,2019,12,18
85,1460,宏遠,2.17,107,0.0,0.86,108/3,20191218,2019,12,18
86,1463,強盛,10.65,107,15.29,0.99,108/3,20191218,2019,12,18
87,1464,得力,5.71,107,21.52,1.86,108/3,20191218,2019,12,18
88,1465,偉全,2.02,107,4.17,0.77,108/3,20191218,2019,12,18
89,1466,聚隆,0.00,107,0.0,0.52,108/3,20191218,2019,12,18
90,1467,南緯,0.00,107,40.81,0.86,108/3,20191218,2019,12,18
91,1468,昶和,0.00,107,37.41,1.47,108/3,20191218,2019,12,18
92,1470,大統新創,1.78,107,24.46,1.99,108/3,20191218,2019,12,18
93,1471,首利,0.00,107,0.0,0.46,108/3,20191218,2019,12,18
94,1472,三洋紡,0.00,107,15.65,2.44,108/3,20191218,2019,12,18
95,1473,台南,2.13,107,18.61,0.88,108/3,20191218,2019,12,18
96,1474,弘裕,3.06,107,40.83,0.70,108/3,20191218,2019,12,18
97,1475,本盟,0.00,107,0.0,3.35,108/3,20191218,2019,12,18
98,1476,儒鴻,2.67,107,25.65,6.60,108/3,20191218,2019,12,18
99,1477,聚陽,4.52,107,18.38,3.92,108/3,20191218,2019,12,18
